Date, Open, High, Low, Close, Volume 
2001-03-23, 134.688004 , 138.750000 ,125.000000, 131.647003,17441088 
2001-04-02, 126.938004 , 130.281006 ,117.407997, 128.526993,20166624 
2001-04-04, 123.438004 , 123.438004 ,119.688004, 122.324997,10385728 
2001-04-09, 123.438004 , 125.469002 ,120.384003, 124.070000,7955520 
2001-05-04, 118.203003 , 120.530998 ,114.734001, 119.428001,15538432 
2001-05-15, 121.125000 , 122.811996 ,112.706001, 121.953003,14955968 
2001-06-14, 119.113998 , 119.655998 ,116.759003, 118.772003,14416928 
2001-06-18, 105.625000 , 107.344002 ,98.073402, 104.169998,25167104 
2001-06-22, 106.750000 , 107.750000 ,105.030998, 107.259003,14005600 
2001-07-02, 119.061996 , 119.061996 ,110.938004, 116.682999,5174592 
2001-07-05, 109.844002 , 111.219002 ,105.750000, 108.916000,14410752 
2001-07-20, 116.561996 , 118.750000 ,112.916000, 117.547997,27917504 
2001-07-25, 114.655998 , 115.905998 ,113.000000, 115.188004,17860544 
2001-09-11, 109.219002 , 110.469002 ,106.561996, 109.495003,23339872 
2001-09-20, 78.093803 , 78.428101 ,72.556297, 77.167198,26596480 
2001-10-10, 79.375000 , 80.445297 ,76.093803, 78.373398,33657696 
2001-10-31, 91.562500 , 92.500000 ,88.598396, 91.135902,36726784 
2001-11-21, 110.986000 , 111.719002 ,101.188004, 109.671997,24232768 
2001-12-18, 132.781006 , 134.309006 ,128.819000, 132.001999,19459616 
2002-03-08, 130.625000 , 132.938004 ,126.811996, 132.203003,33630176 
2002-04-09, 112.750000 , 113.561996 ,109.780998, 112.502998,19253632 
2002-05-23, 114.061996 , 114.688004 ,112.405998, 113.778000,9026560 
2002-06-25, 100.349998 , 100.905998 ,97.968803, 99.868797,20340480 
2002-07-11, 103.084000 , 103.719002 ,101.875000, 103.180000,17245024 
2002-07-19, 99.062500 , 99.342201 ,98.020302, 98.939102,9917792 
2002-07-26, 94.681297 , 95.250000 ,92.968803, 94.264099,21720736 
2002-08-02, 94.218803 , 94.531197 ,91.781197, 93.898399,18774944 
2002-08-09, 98.121902 , 99.528099 ,95.696899, 98.821899,23471968 
2002-10-01, 105.875000 , 107.061996 ,104.688004, 106.466003,23117440 
2002-11-21, 140.625000 , 141.994003 ,138.906006, 141.464005,39579648 
2002-12-10, 141.281006 , 141.811996 ,137.875000, 141.001999,29366880 
2002-12-30, 147.968994 , 148.552994 ,146.266006, 148.188004,16538720 
2003-02-05, 136.871994 , 138.281006 ,134.938004, 137.604996,16675424 
2003-02-28, 136.406006 , 136.406006 ,128.438995, 133.919006,33149952 
2003-03-17, 126.938004 , 127.311996 ,123.634003, 126.102997,22672544 
2003-04-04, 133.843994 , 134.811996 ,131.755997, 134.225006,26706400 
2003-04-22, 92.115601 , 92.312500 ,89.468803, 91.240601,30209152 
2003-05-15, 90.000000 , 90.428101 ,88.593803, 90.112503,18267008 
2003-05-26, 81.824997 , 83.053101 ,80.343803, 82.276604,25703392 
2003-06-13, 93.093803 , 93.375000 ,91.564102, 92.848396,25011008 
2003-07-04, 97.021896 , 97.615601 ,94.724998, 96.751602,22114528 
2003-07-07, 96.578102 , 97.468803 ,94.531197, 96.724998,23857920 
2003-07-16, 108.197998 , 108.678001 ,106.629997, 107.680000,18439616 
2003-07-24, 108.125000 , 109.056000 ,105.894997, 108.148003,25854016 
2003-08-25, 115.240997 , 117.188004 ,94.312500, 111.277000,35216960 
2003-08-29, 123.292000 , 124.375000 ,119.386002, 122.682999,21256192 
2003-09-22, 136.625000 , 137.343994 ,134.192001, 136.653000,26289824 
2003-09-23, 135.281006 , 135.779999 ,132.375000, 134.865997,24800640 
2003-10-06, 143.158997 , 144.209000 ,115.938004, 142.789001,16796192 
2003-10-10, 146.875000 , 148.125000 ,139.843994, 144.673004,41437216 
2003-10-15, 147.567001 , 148.593994 ,145.697998, 147.983002,16692672 
2003-11-24, 145.240997 , 146.093994 ,138.750000, 144.563995,10749568 
2003-12-24, 170.311996 , 170.311996 ,167.067001, 169.494995,10968352 
2004-01-13, 180.311996 , 181.531006 ,177.658997, 181.050003,11435456 
2004-01-19, 172.968994 , 172.968994 ,168.311996, 171.955994,15213856 
2004-01-27, 168.750000 , 175.625000 ,156.843994, 173.794998,14077472 
2004-02-24, 158.121994 , 159.811996 ,153.938004, 157.619995,20856224 
2004-05-05, 164.031006 , 164.938004 ,162.822998, 164.403000,10211552 
2004-05-13, 159.334000 , 164.688004 ,153.156006, 162.304993,16781024 
2004-05-19, 156.561996 , 157.781006 ,151.250000, 155.395004,10588480 
2004-06-04, 162.500000 , 163.811996 ,161.000000, 163.042007,9761696 
2004-06-10, 163.897003 , 165.216995 ,162.031006, 164.785995,8335104 
2004-07-01, 174.375000 , 176.962006 ,169.899994, 176.100006,14137720 
2004-08-16, 185.375000 , 186.625000 ,184.000000, 185.899994,8251016 
2004-08-30, 196.500000 , 197.850006 ,194.500000, 197.181000,6042472 
2004-09-03, 200.625000 , 201.475006 ,199.119003, 200.824997,7016736 
2004-09-13, 210.625000 , 212.488007 ,206.250000, 209.481003,9185288 
